input_id	dealiased_id	standard_id	short_id
wikidata:Q99418649	wikidata:Q99418649	wikidata:Q99418649	pNGap1Du
wikidata:Q46368626	wikidata:Q46368626	wikidata:Q46368626	1GmbExweg
wikidata:Q56524391	wikidata:Q56524391	wikidata:Q56524391	1DSEIjFha
url:https://data.humancellatlas.org/about	url:https://data.humancellatlas.org/about	url:https://data.humancellatlas.org/about	zDRzmIGu
wikidata:Q104450645	wikidata:Q104450645	wikidata:Q104450645	kkwRTArg
wikidata:Q38371706	wikidata:Q38371706	wikidata:Q38371706	Fuf8oc85
wikidata:Q36280460	wikidata:Q36280460	wikidata:Q36280460	LNtevqb9
wikidata:Q91595456	wikidata:Q91595456	wikidata:Q91595456	Lbqx9XBK
wikidata:Q47406275	wikidata:Q47406275	wikidata:Q47406275	CovO24JR
wikidata:Q105870680	wikidata:Q105870680	wikidata:Q105870680	DLTMbf54
wikidata:Q104130127	wikidata:Q104130127	wikidata:Q104130127	18wkLcGxT
wikidata:Q23781406	wikidata:Q23781406	wikidata:Q23781406	2KmDs8gy
wikidata:Q19671692	wikidata:Q19671692	wikidata:Q19671692	j3tJyG7J
wikidata:Q101955295	wikidata:Q101955295	wikidata:Q101955295	qMozvNth
wikidata:Q24074986	wikidata:Q24074986	wikidata:Q24074986	xLpRePoh
doi:10.1101/031971	doi:10.1101/031971	doi:10.1101/031971	lmhCFXiz
wikidata:Q87830400	wikidata:Q87830400	wikidata:Q87830400	3GqlN9Dk
doi:10.7554/eLife.52614	doi:10.7554/eLife.52614	doi:10.7554/elife.52614	HUodcdz1
doi:10.1016/j.jbi.2019.103292	doi:10.1016/j.jbi.2019.103292	doi:10.1016/j.jbi.2019.103292	11iU76eUa
wikidata:Q106704674	wikidata:Q106704674	wikidata:Q106704674	cFQY1evO
wikidata:Q27341786	wikidata:Q27341786	wikidata:Q27341786	xk3HGry1
wikidata:Q36067763	wikidata:Q36067763	wikidata:Q36067763	agnqfdk6
wikidata:Q87649649	wikidata:Q87649649	wikidata:Q87649649	paKiKTRS
doi:10.1242/dev.169854	doi:10.1242/dev.169854	doi:10.1242/dev.169854	sWv3okaH
doi:10.1242/dev.178996	doi:10.1242/dev.178996	doi:10.1242/dev.178996	19yYJWEkz
wikidata:Q47565008	wikidata:Q47565008	wikidata:Q47565008	BlxFp1v3
wikidata:Q99418657	wikidata:Q99418657	wikidata:Q99418657	eOUB1Bmj
wikidata:Q98665291	wikidata:Q98665291	wikidata:Q98665291	TupzTvtA
wikidata:Q93086971	wikidata:Q93086971	wikidata:Q93086971	w0Woz7JE
wikidata:Q26770736	wikidata:Q26770736	wikidata:Q26770736	srfuRMe
wikidata:Q35688096	wikidata:Q35688096	wikidata:Q35688096	1GXQByEaQ
wikidata:Q98633613	wikidata:Q98633613	wikidata:Q98633613	k0Pe9YOB
wikidata:Q40436539	wikidata:Q40436539	wikidata:Q40436539	MoaYZAA0
wikidata:Q21184168	wikidata:Q21184168	wikidata:Q21184168	1CI8uS6ka
doi:10.1186/1471-2105-12-6	doi:10.1186/1471-2105-12-6	doi:10.1186/1471-2105-12-6	gAysgnsS
doi:10.1186/s13326-016-0088-7	doi:10.1186/s13326-016-0088-7	doi:10.1186/s13326-016-0088-7	17U3pGEjv
wikidata:Q21284308	wikidata:Q21284308	wikidata:Q21284308	RLHsA1U8
doi:10.1186/s12859-017-1976-2	doi:10.1186/s12859-017-1976-2	doi:10.1186/s12859-017-1976-2	jX2ZmXcc
doi:10.1186/s12859-019-2721-9	doi:10.1186/s12859-019-2721-9	doi:10.1186/s12859-019-2721-9	rK8KD0us
wikidata:Q48563763	wikidata:Q48563763	wikidata:Q48563763	pFijpXkl
doi:10.22541/au.160979530.02627436/v1	doi:10.22541/au.160979530.02627436/v1	doi:10.22541/au.160979530.02627436/v1	uCE45Jh8
wikidata:Q1189395	wikidata:Q1189395	wikidata:Q1189395	AHGRV6KQ
https://panglaodb.se/index.html	https://panglaodb.se/index.html	url:https://panglaodb.se/index.html	M0lqRYJb
doi:10.1093/database/baz046	doi:10.1093/database/baz046	doi:10.1093/database/baz046	T3PlZ3Vh
url:https://www.w3.org/DesignIssues/LinkedData.html	url:https://www.w3.org/DesignIssues/LinkedData.html	url:https://www.w3.org/DesignIssues/LinkedData.html	OGXYtGZ8
wikidata:Q28660708	wikidata:Q28660708	wikidata:Q28660708	4AEy2xhQ
https://github.com/SuLab/WikidataIntegrator	https://github.com/SuLab/WikidataIntegrator	url:https://github.com/SuLab/WikidataIntegrator	qDI8I4IJ
https://sparql.uniprot.org/sparql	https://sparql.uniprot.org/sparql	url:https://sparql.uniprot.org/sparql	HUJ9NzAb
https://www.wikipathways.org/index.php/Portal:Semantic_Web	https://www.wikipathways.org/index.php/Portal:Semantic_Web	url:https://www.wikipathways.org/index.php/Portal:Semantic_Web	AgOOCR24
wikidata:Q105037759	wikidata:Q105037759	wikidata:Q105037759	mPoPwN77
wikidata:Q56984510	wikidata:Q56984510	wikidata:Q56984510	chGii6yw
doi:10.13070/mm.en.3.183	doi:10.13070/mm.en.3.183	doi:10.13070/mm.en.3.183	rhRRCtlA
https://stemcellinformatics.org	https://stemcellinformatics.org	url:https://stemcellinformatics.org	6uWWsiSq
